,Lot Number,Chassis Number,Running Condition,Seller,Location,Model,Year,Kilometers,Engine,Gearbox,Date,Price
149,24339,2Y82H405799,True,Calstickshift,"SAN JOSE, California 95125",,1962,111000,430ci V8,3-Speed Automatic Transmission,,9500
150,24313,111490,True,Jsimeon,"Lake Oswego, Oregon 97034",Porsche 356,1960,16000,No Engine Data Found,Four-Speed Manual Transaxle,,40000
151,24351,WP0JB0927JS860065,True,GMaida,"Mill Neck, New York 11765",Porsche 928,1988,88000,5.0L DOHC V8,4-Speed Automatic Transaxle,,16178
152,24330,6A40S274072,True,max111,"Eads, Tennessee 38028",,1966,28000,S-Code 390ci V8,4-Speed Toploader Manual Transmission,,18500
153,24304,458653,True,mister_e,"Sequim, Washington 98382",Lotus Elan,1969,56000,No Engine Data Found,Four-Speed Manual Gearbox,,17000
154,24425,1G6DV8EP5E0134357,True,wiusa,"Jacksonville, Florida 32246",Cadillac CTS-V,2014,24000,Supercharged 6.2-Liter V8,Six-Speed Automatic Transmission,,20000
155,24208,3024413,True,Gfo771277,"Calgary, Alberta, Canada",Alfa Romeo 105/115 Series Coupe,1974,28000,2.0-Liter DOHC Inline-Four,5-Speed Manual Transmission,,26500
156,24462,SCBLF34F84CX09889,True,TranquillityChevrolet,"Tranquillity, California 93668",Bentley Arnage,2004,49000,Twin-Turbo 6.75-Liter V8,Four-Speed Automatic Transmission,,15000
157,24240,9289201438,True,SportsPurposeGarage,"Livermore, California 94551",Porsche 928,1979,78000,4.5-Liter V8,5-Speed Manual Transmission,,5400
158,24333,4JGAB74E01A260368,True,genevamotorcars,"Delavan, Wisconsin 53115",,2001,98000,5.4-Liter M113 V8,Five-Speed Automatic Transmission,,4655
159,24375,229152070,True,1972vintage,"Hayden, Idaho 83835",Volkswagen Bus,1969,51000,"1,835cc Flat-Four",4-Speed Manual Transaxle,,20250
160,24357,11805188,False,DSFM2005,"HOUSTON, Texas 77079",Porsche Longhood 911,1968,6000,Multiple Entries Found,Original Five-Speed Transaxle,,17162
161,24394,ZDM1LA4N62B001592,True,O2theL,"Walton, Kentucky 41094",,2002,1585,904cc L-Twin,Six-Speed Gearbox,,16000
